4 5 9 11 12 22 23 25 26 31 36 37 38 39 40 41 42 43 44 45 46 48 53 57 58 65 68 74 76 77 79 80 81 83 88 99 100 101 102 103 104 114 117 118 130 131 132 141 142 143 148 149 150 151 152 153 158 159 160 161 165 166 167 200 201 208 216 217 218 220 221 231 237 238 239 243 244 245 246 249 251 254 255 256
nan -17.0 -17.0 -12.0 -17.0 -10.0 -2.0 -10.0 -10.0 -7.0 -7.0 -3.0 -10.0 2.8 3.0 -10.0 nan 1.8 nan -5.0 -10.0 -5.0 -5.0 -10.0 -5.0 -4.0 -4.0 -2.0 -3.0 -4.0 nan nan 0.7 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.8 nan nan nan nan nan nan nan nan nan nan
-17.0 nan -17.0 -17.0 -17.0 -7.0 -7.0 -12.0 -12.0 -4.0 -3.0 nan -7.0 1.8 nan -7.0 1.8 nan 3.0 1.3 -5.0 -10.0 -5.0 -5.0 -1.0 -10.0 -2.0 -3.0 -4.0 -7.0 1.8 1.3 -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan 3.0 nan nan nan
-17.0 -17.0 nan -17.0 -17.0 -12.0 -12.0 -5.0 -10.0 -5.0 -7.0 0.7 -4.0 3.0 nan 3.0 0.7 3.0 3.0 3.0 -5.0 -10.0 -5.0 -7.0 0.7 3.0 0.7 1.8 -7.0 -5.0 -3.0 nan 1.8 3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan nan 0.7 3.0 nan 3.0 nan nan nan
-12.0 -17.0 -17.0 nan -17.0 -10.0 -12.0 -4.0 -5.0 -2.0 -10.0 2.3 -7.0 nan 3.0 -5.0 1.3 1.8 nan -10.0 -7.0 0.7 -7.0 -10.0 -4.0 -10.0 -12.0 -2.0 nan -5.0 0.7 nan -5.0 -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -2.0 0.7 nan nan -2.0 1.3 nan 0.7 nan nan nan
-17.0 -17.0 -17.0 -17.0 nan -7.0 -10.0 -7.0 -10.0 -5.0 -7.0 -2.0 -7.0 1.3 nan -1.0 1.3 0.7 nan -7.0 -12.0 -5.0 -4.0 -12.0 -10.0 -10.0 -12.0 3.0 -4.0 -3.0 -10.0 0.7 -7.0 2.8 nan nan nan nan nan nan nan nan 2.3 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.0 2.8 nan nan 3.0 nan nan 3.0 nan nan nan
-10.0 -7.0 -12.0 -12.0 -10.0 nan -17.0 -17.0 -17.0 -12.0 -12.0 -10.0 -10.0 -12.0 -10.0 -7.0 -10.0 -10.0 -12.0 -12.0 3.0 -10.0 -7.0 -7.0 -12.0 -12.0 -10.0 -4.0 -10.0 -4.0 -5.0 -10.0 -7.0 2.8 -4.0 nan nan nan nan nan nan nan -7.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 2.8 nan nan nan nan nan nan nan nan 1.3 -2.0 nan nan -1.0 nan nan 1.3 nan nan nan
-5.0 -5.0 -12.0 -12.0 -10.0 -17.0 nan -17.0 -17.0 -12.0 -12.0 -10.0 -10.0 -10.0 -12.0 -10.0 -7.0 -7.0 -10.0 -10.0 2.8 -7.0 -5.0 -10.0 -10.0 -10.0 -10.0 -7.0 -3.0 -5.0 -3.0 nan -7.0 2.3 -3.0 nan nan nan nan nan nan nan -5.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan nan -4.0 -4.0 nan nan -4.0 0.7 nan 0.7 nan nan nan
-10.0 -12.0 -7.0 -5.0 -10.0 -17.0 -17.0 nan -12.0 -12.0 -12.0 -10.0 -12.0 -12.0 -12.0 -10.0 -10.0 -1.0 -12.0 -10.0 3.0 -12.0 -7.0 -7.0 -12.0 1.3 -5.0 0.7 1.3 -7.0 1.8 3.0 -5.0 -3.0 -1.0 nan nan nan nan nan nan nan -3.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.0 nan nan -3.0 -3.0 nan 3.0 nan nan nan
-12.0 -12.0 -10.0 -5.0 -12.0 -17.0 -17.0 -17.0 nan -10.0 -17.0 -7.0 -17.0 -12.0 -10.0 0.7 -7.0 -12.0 -12.0 -2.0 -3.0 -12.0 -7.0 -4.0 -10.0 -3.0 -7.0 0.7 -4.0 -7.0 -5.0 -4.0 -10.0 -2.0 0.7 nan nan nan nan nan nan nan 1.8 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.0 nan nan nan -4.0 nan nan 3.0 nan nan nan
